Country_Region,Country_Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,Population
Ecuador,Ecuador,489497,31721,443880,13896,408,27,0,6.48,90.68,7.15,484708,4789,0.99,Americas,17668824
Egypt,Egypt,284472,16550,232179,35743,57,10,119,5.82,81.62,7.13,284128,344,0.12,Eastern Mediterranean,102516525
El Salvador,El Salvador,87498,2672,76670,8156,0,9,0,3.05,87.62,3.49,86059,1439,1.67,Americas,6489514
Equatorial Guinea,Equatorial Guinea,8928,123,8709,96,17,0,13,1.38,97.55,1.41,8880,48,0.54,Africa,1407001
Eritrea,Eritrea,6568,35,6475,58,4,0,3,0.53,98.58,0.54,6539,29,0.44,Africa,3551175
Estonia,Estonia,134221,1273,129183,3765,243,0,131,0.95,96.25,0.99,132891,1330,1,Europe,1326627
Eswatini,Eswatini,28535,818,22127,5590,1068,5,306,2.87,77.54,3.7,24247,4288,17.68,Africa,1161348
Ethiopia,Ethiopia,281811,4403,264008,13400,511,8,123,1.56,93.68,1.67,279153,2658,0.95,Africa,115223736
Fiji,Fiji,33920,272,10848,22800,1187,11,1204,0.8,31.98,2.51,26196,7724,29.49,Western Pacific,897095
Finland,Finland,110076,1012,46000,63064,840,3,0,0.92,41.79,2.2,105180,4896,4.65,Europe,5541604
France,France,6272466,112245,415111,5745110,29241,49,678,1.79,6.62,27.04,6117020,155446,2.54,Europe,65288306
Gabon,Gabon,25440,165,25228,47,35,1,37,0.65,99.17,0.65,25370,70,0.28,Africa,2230563
Gambia,Gambia,8392,233,7310,849,96,6,188,2.78,87.11,3.19,7709,683,8.86,Africa,2422754
Georgia,Georgia,432903,5948,390827,36128,4233,38,1934,1.37,90.28,1.52,410830,22073,5.37,Europe,3988368
Germany,Germany,3782239,91704,3659260,31275,3693,25,1110,2.42,96.75,2.51,3768521,13718,0.36,Europe,83811260
Ghana,Ghana,106053,847,98633,6573,541,3,241,0.8,93,0.86,103019,3034,2.95,Africa,31133483
Greece,Greece,503885,13013,93764,397108,2855,16,0,2.58,18.61,13.88,485015,18870,3.89,Europe,10417673
Greenland,Greenland,135,0,87,48,5,0,3,0,64.44,0,108,27,25,Europe,56780
Grenada,Grenada,164,1,161,2,0,0,0,0.61,98.17,0.62,164,0,0,Americas,112576
Guatemala,Guatemala,377446,10524,331374,35548,4399,41,2609,2.79,87.79,3.18,358798,18648,5.2,Americas,17946899
Guinea,Guinea,26188,238,24463,1487,196,4,105,0.91,93.41,0.97,25293,895,3.54,Africa,13164905
Guinea-Bissau,Guinea-Bissau,4629,79,4027,523,41,1,32,1.71,87,1.96,4334,295,6.81,Africa,1972277
Guyana,Guyana,22643,549,22327,-233,0,0,0,2.42,98.6,2.46,22234,409,1.84,Americas,786936
Haiti,Haiti,20433,572,12961,6900,44,3,0,2.8,63.43,4.41,20203,230,1.14,Americas,11416103
Honduras,Honduras,303387,8014,102384,192989,2815,112,740,2.64,33.75,7.83,292969,10418,3.56,Americas,9919704
Hungary,Hungary,809731,30032,749773,29926,59,3,312,3.71,92.6,4.01,809362,369,0.05,Europe,9657785
Iceland,Iceland,8353,30,6993,1330,120,0,94,0.36,83.72,0.43,7545,808,10.71,Europe,341465
India,India,31812114,426290,30974748,411076,42982,533,41726,1.34,97.37,1.38,31528114,284000,0.9,South-East Asia,1381344997
Indonesia,Indonesia,3532567,100636,2907920,524011,35867,1747,34251,2.85,82.32,3.46,3287727,244840,7.45,South-East Asia,273808365
Iran,Iran,4019084,92194,3444798,482092,39357,409,20148,2.29,85.71,2.68,3792014,227070,5.99,Eastern Mediterranean,84097623
Iraq,Iraq,1673084,18938,1494760,159386,12713,73,6574,1.13,89.34,1.27,1590528,82556,5.19,Eastern Mediterranean,40306025
Ireland,Ireland,305527,5044,23364,277119,1217,9,0,1.65,7.65,21.59,296687,8840,2.98,Europe,4943200
Israel,Israel,885766,6503,854888,24375,2968,8,1738,0.73,96.51,0.76,867240,18526,2.14,Europe,9197590
Italy,Italy,4369964,128136,4144608,97220,6590,21,3565,2.93,94.84,3.09,4330739,39225,0.91,Europe,60452568
Jamaica,Jamaica,53639,1207,47101,5331,96,4,23,2.25,87.81,2.56,52322,1317,2.52,Americas,2962478
Japan,Japan,971743,15233,852451,104059,14312,14,4734,1.57,87.72,1.79,892599,79144,8.87,Western Pacific,126435859
Jordan,Jordan,774554,10082,752624,11848,897,11,275,1.3,97.17,1.34,768382,6172,0.8,Eastern Mediterranean,10213138
Kazakhstan,Kazakhstan,672895,9077,555079,108739,8171,0,7429,1.35,82.49,1.64,617387,55508,8.99,Europe,18798667
Kenya,Kenya,206691,4025,191188,11478,1335,30,1093,1.95,92.5,2.11,199941,6750,3.38,Africa,53881160
Kosovo,Kosovo,108844,2269,105688,887,221,0,21,2.08,97.1,2.15,108131,713,0.66,Europe,1771315
Kuwait,Kuwait,400979,2351,388880,9748,851,6,1048,0.59,96.98,0.6,395479,5500,1.39,Eastern Mediterranean,4276658
Kyrgyzstan,Kyrgyzstan,166236,2363,150852,13021,696,9,1681,1.42,90.75,1.57,160085,6151,3.84,Europe,6534479
Laos,Laos,7305,7,3804,3494,290,0,412,0.1,52.07,0.18,5434,1871,34.43,Western Pacific,7285750
Latvia,Latvia,139134,2558,135690,886,97,2,0,1.84,97.52,1.89,138650,484,0.35,Europe,1883936
Lebanon,Lebanon,565896,7921,537653,20322,1542,4,0,1.4,95.01,1.47,558369,7527,1.35,Eastern Mediterranean,6822220
Lesotho,Lesotho,13603,377,6664,6562,0,0,0,2.77,48.99,5.66,12887,716,5.56,Africa,2143943
Liberia,Liberia,5459,220,2715,2524,0,0,0,4.03,49.73,8.1,5404,55,1.02,Africa,5068618
Libya,Libya,260951,3635,195639,61677,2484,26,1422,1.39,74.97,1.86,243470,17481,7.18,Eastern Mediterranean,6880353
Liechtenstein,Liechtenstein,3195,58,3011,126,1,0,0,1.82,94.24,1.93,3185,10,0.31,Europe,38139
Lithuania,Lithuania,284586,4418,269840,10328,538,3,178,1.55,94.82,1.64,282025,2561,0.91,Europe,2718121
Luxembourg,Luxembourg,74144,824,72306,1014,102,2,89,1.11,97.52,1.14,73744,400,0.54,Europe,626952
Madagascar,Madagascar,42685,943,41177,565,11,0,4,2.21,96.47,2.29,42615,70,0.16,Africa,27755708
Malawi,Malawi,54178,1729,39841,12608,675,29,794,3.19,73.54,4.34,50381,3797,7.54,Africa,19174839
Malaysia,Malaysia,1183110,9855,962731,210524,19819,257,12704,0.83,81.37,1.02,1061476,121634,11.46,Western Pacific,32406372
Maldives,Maldives,77895,222,75095,2578,137,0,30,0.28,96.41,0.3,77094,801,1.04,South-East Asia,541448
Mali,Mali,14605,534,13962,109,10,0,2,3.66,95.6,3.82,14563,42,0.29,Africa,20302901
Malta,Malta,34590,423,32438,1729,82,0,293,1.22,93.78,1.3,33995,595,1.75,Europe,441663
Mauritania,Mauritania,26902,581,22859,3462,347,5,154,2.16,84.97,2.54,24662,2240,9.08,Africa,4660728
Mauritius,Mauritius,4493,20,1854,2619,100,0,0,0.45,41.26,1.08,3913,580,14.82,Africa,1271985
Mexico,Mexico,2901094,242547,2270427,388120,20685,611,12984,8.36,78.26,10.68,2790874,110220,3.95,Americas,129066160
Moldova,Moldova,260024,6266,252421,1337,196,5,138,2.41,97.08,2.48,259018,1006,0.39,Europe,4032983
Monaco,Monaco,2940,33,2759,148,14,0,15,1.12,93.84,1.2,2833,107,3.78,Europe,39270
Mongolia,Mongolia,169851,727,158685,10439,1178,2,0,0.43,93.43,0.46,160344,9507,5.93,Western Pacific,3283344
Montenegro,Montenegro,102660,1633,99152,1875,257,2,47,1.59,96.58,1.65,101496,1164,1.15,Europe,628074
Morocco,Morocco,653286,10015,582692,60579,10603,66,7774,1.53,89.19,1.72,597876,55410,9.27,Eastern Mediterranean,36953359
Mozambique,Mozambique,127425,1526,100912,24987,1034,26,4466,1.2,79.19,1.51,115886,11539,9.96,Africa,31333962
Namibia,Namibia,119984,3112,96568,20304,187,32,227,2.59,80.48,3.22,117570,2414,2.05,Africa,2545264
Nepal,Nepal,705072,9957,661651,33464,2975,35,1535,1.41,93.84,1.5,688307,16765,2.44,South-East Asia,29186486
Netherlands,Netherlands,1905249,18131,28771,1858347,2988,10,177,0.95,1.51,63.02,1884198,21051,1.12,Europe,17138756
New Zealand,New Zealand,2881,28,2824,29,1,0,0,0.97,98.02,0.99,2868,13,0.45,Western Pacific,5002100
Nicaragua,Nicaragua,7890,196,4225,3469,298,1,0,2.48,53.55,4.64,7592,298,3.93,Americas,6632263
Niger,Niger,5663,196,5351,116,5,0,2,3.46,94.49,3.66,5604,59,1.05,Africa,24281433
Nigeria,Nigeria,176011,2167,165208,8636,747,4,86,1.23,93.86,1.31,172263,3748,2.18,Africa,206606300
North Macedonia,North Macedonia,156707,5497,150440,770,164,3,18,3.51,96,3.65,156171,536,0.34,Europe,2083365
Norway,Norway,139218,804,17998,120416,478,5,0,0.58,12.93,4.47,136541,2677,1.96,Europe,5425471
Oman,Oman,297724,3889,281724,12111,293,12,797,1.31,94.63,1.38,295535,2189,0.74,Eastern Mediterranean,5118446
Pakistan,Pakistan,1053660,23635,952616,77409,5661,60,6787,2.24,90.41,2.48,1020324,33336,3.27,Eastern Mediterranean,221295851
