Country_Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,148933.0,6836.0,82586.0,59511.0,361.0,32.0,0.0,4.59,55.45,8.28,145552.0,3381.0,2.32,Eastern Mediterranean
Albania,133310.0,2457.0,130314.0,539.0,99.0,0.0,23.0,1.84,97.75,1.89,132952.0,358.0,0.27,Europe
Algeria,176724.0,4404.0,118409.0,53911.0,1495.0,34.0,852.0,2.49,67.0,3.72,167131.0,9593.0,5.74,Africa
Andorra,14797.0,128.0,14380.0,289.0,31.0,0.0,32.0,0.87,97.18,0.89,14586.0,211.0,1.45,Europe
Angola,43158.0,1026.0,39582.0,2550.0,88.0,4.0,193.0,2.38,91.71,2.59,42288.0,870.0,2.06,Africa
Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Antigua and Barbuda,1311.0,43.0,1239.0,29.0,8.0,0.0,4.0,3.28,94.51,3.47,1288.0,23.0,1.79,Americas
Argentina,4975616.0,106747.0,4615834.0,253035.0,13736.0,300.0,9808.0,2.15,92.77,2.31,4891810.0,83806.0,1.71,Americas
Armenia,230993.0,4625.0,220438.0,5930.0,280.0,4.0,149.0,2.0,95.43,2.1,229370.0,1623.0,0.71,Europe
Australia,35391.0,932.0,24203.0,10256.0,302.0,5.0,31.0,2.63,68.39,3.85,33726.0,1665.0,4.94,Western Pacific
Austria,655955.0,13147.0,644388.0,402.0,402.0,2.0,350.0,2.0,98.24,2.04,652659.0,3296.0,0.51,Europe
Azerbaijan,346878.0,5039.0,333694.0,8145.0,996.0,5.0,202.0,1.45,96.2,1.51,341933.0,4945.0,1.45,Europe
Bahamas,15124.0,292.0,12702.0,2130.0,113.0,1.0,83.0,1.93,83.99,2.3,14457.0,667.0,4.61,Americas
Bahrain,269617.0,1384.0,267220.0,1013.0,122.0,0.0,124.0,0.51,99.11,0.52,268846.0,771.0,0.29,Eastern Mediterranean
Bangladesh,1309910.0,21638.0,1141157.0,147115.0,13817.0,241.0,16112.0,1.65,87.12,1.9,1210982.0,98928.0,8.17,South-East Asia
Barbados,4433.0,48.0,4251.0,134.0,11.0,0.0,0.0,1.08,95.89,1.13,4364.0,69.0,1.58,Americas
Belarus,449302.0,3494.0,443417.0,2391.0,967.0,11.0,1037.0,0.78,98.69,0.79,442831.0,6471.0,1.46,Europe
Belgium,1132934.0,25258.0,0.0,1107676.0,2176.0,7.0,0.0,2.23,0.0,inf,1121089.0,11845.0,1.06,Europe
Belize,14331.0,338.0,13543.0,450.0,47.0,0.0,29.0,2.36,94.5,2.5,14069.0,262.0,1.86,Americas
Benin,8608.0,110.0,8136.0,362.0,214.0,2.0,0.0,1.28,94.52,1.35,8394.0,214.0,2.55,Africa
